Market,Commodity,Model,Avg_RMSE,Avg_MAE,Avg_MAPE,Best_Metric,ADF_pvalue
Junnar(Otur),Carrot,AutoARIMA,410.2054165120959,256.8047261043578,21.32350462531444,MAPE,1.5667925906092e-05
Khed,Cabbage,RandomForest,178.49043590189655,158.002251984127,20.14544710921688,MAPE,0.0012867671993001
Hingna,Onion,AutoARIMA,165.4064240587387,132.46688742659953,8.144378848694556,MAPE,0.3706377427142698
Junnar(Narayangaon),Cabbage,XGBoost,314.7637581188501,245.1468287150065,22.38217142349528,MAPE,0.0083493513662139
Kamthi,Onion,AutoARIMA,309.0034432219987,215.8463417001662,13.78573877046498,MAPE,7.1125732013188215e-06
Kamthi,Coriander(Leaves),AutoARIMA,659.2414678497382,521.7845609870594,15.075945953135436,MAPE,8.872803114267983e-06
Manchar,Potato,AutoARIMA,269.2020038224384,228.1419007886387,17.9729408975758,MAPE,0.0001767740323494
Hingna,Cabbage,ETS,160.65388352412094,121.29716132777908,13.639030217547546,MAPE,0.003158236347381
Junnar(Otur),Onion,RandomForest,132.16328681786473,106.26767456841192,7.0705675619953485,MAPE,0.0068589849278367
Kamthi,Tomato,XGBoost,295.57783156283404,238.82547098795573,15.484274462304937,MAPE,0.000432955050551
Junnar(Narayangaon),Coriander(Leaves),AutoARIMA,497.6803451688783,372.0796015668705,20.4948458545984,MAPE,1.129078487722627e-11
Pune(Khadiki),Coriander(Leaves),AutoARIMA,3.736462482190196,2.797755496647887,28.567899449559675,MAE,0.0452239217733789
Pune(Khadiki),Cabbage,RandomForest,117.50194813513718,99.29187500000003,9.13564109825749,MAPE,0.0256710660703364
Junnar(Narayangaon),Tomato,ETS,414.1102802701987,310.85217187348417,20.371655020897716,MAPE,2.934842195974904e-07
Pune,Carrot,XGBoost,181.36073284097355,139.3298116048177,8.405784837527552,MAPE,0.0001648127136778
